dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
HandMovementDirection,4.0,2.0,3.0,1.0
HandOutlines,3.0,4.0,1.0,2.0
Handwriting,1.0,4.0,2.0,3.0
Haptics,3.0,2.0,4.0,1.0
Herring,2.0,1.0,4.0,3.0
HouseTwenty,3.0,4.0,1.0,2.0
InlineSkate,3.0,1.0,4.0,2.0
InsectEPGRegularTrain,2.5,2.5,2.5,2.5
InsectEPGSmallTrain,1.5,3.5,1.5,3.5
InsectWingbeatSound,3.0,1.0,2.0,4.0
ItalyPowerDemand,1.0,4.0,3.0,2.0
LSST,3.0,4.0,2.0,1.0
LargeKitchenAppliances,2.0,4.0,1.0,3.0
Libras,3.0,4.0,1.0,2.0
Lightning2,1.0,4.0,2.0,3.0
Lightning7,1.0,2.0,3.0,4.0
Mallat,1.0,4.0,2.0,3.0
Meat,2.5,2.5,2.5,2.5
MedicalImages,2.0,4.0,1.0,3.0
MiddlePhalanxOutlineAgeGroup,2.0,1.0,4.0,3.0
MiddlePhalanxOutlineCorrect,2.5,4.0,1.0,2.5
MiddlePhalanxTW,3.0,1.0,4.0,2.0
MixedShapesRegularTrain,1.0,4.0,2.0,3.0
MixedShapesSmallTrain,1.0,4.0,3.0,2.0
MoteStrain,2.0,4.0,1.0,3.0
NATOPS,3.5,3.5,1.0,2.0
NonInvasiveFetalECGThorax1,3.0,4.0,1.5,1.5
NonInvasiveFetalECGThorax2,3.0,4.0,1.0,2.0
OSULeaf,1.0,4.0,2.0,3.0
OliveOil,2.0,4.0,1.0,3.0
PenDigits,2.0,4.0,1.0,3.0
PhalangesOutlinesCorrect,3.0,4.0,1.0,2.0
Phoneme,4.0,2.0,3.0,1.0
PigAirwayPressure,1.0,3.0,2.0,4.0
PigArtPressure,1.0,4.0,2.0,3.0
PigCVP,1.0,4.0,2.0,3.0
Plane,1.0,2.0,3.5,3.5
PowerCons,4.0,2.5,1.0,2.5
ProximalPhalanxOutlineAgeGroup,4.0,1.0,3.0,2.0
ProximalPhalanxOutlineCorrect,3.0,4.0,1.0,2.0
ProximalPhalanxTW,2.0,4.0,1.0,3.0
RacketSports,2.0,3.0,1.0,4.0
RefrigerationDevices,4.0,3.0,2.0,1.0
Rock,2.0,3.0,1.0,4.0
ScreenType,4.0,3.0,1.0,2.0
SelfRegulationSCP1,3.0,4.0,1.0,2.0
SelfRegulationSCP2,2.0,1.0,3.0,4.0
SemgHandGenderCh2,3.0,4.0,1.0,2.0
SemgHandMovementCh2,3.0,4.0,2.0,1.0
SemgHandSubjectCh2,4.0,3.0,2.0,1.0
ShapeletSim,3.0,4.0,1.5,1.5
ShapesAll,1.0,4.0,2.0,3.0
SmallKitchenAppliances,4.0,3.0,1.0,2.0
SmoothSubspace,2.0,3.0,1.0,4.0
SonyAIBORobotSurface1,1.0,3.5,2.0,3.5
SonyAIBORobotSurface2,1.0,4.0,3.0,2.0
StandWalkJump,2.0,3.5,1.0,3.5
StarLightCurves,3.0,4.0,1.0,2.0
Strawberry,3.0,4.0,2.0,1.0
SwedishLeaf,3.0,4.0,1.0,2.0
Symbols,1.0,4.0,2.0,3.0
SyntheticControl,3.0,4.0,1.0,2.0
ToeSegmentation1,1.0,2.0,4.0,3.0
ToeSegmentation2,1.0,4.0,2.0,3.0
Trace,2.0,4.0,1.0,3.0
TwoLeadECG,2.0,4.0,1.0,3.0
TwoPatterns,2.0,4.0,1.0,3.0
UMD,3.0,4.0,1.0,2.0
UWaveGestureLibrary,1.0,4.0,2.0,3.0
UWaveGestureLibraryAll,2.0,4.0,1.0,3.0
UWaveGestureLibraryX,1.0,4.0,2.0,3.0
UWaveGestureLibraryY,1.0,3.0,2.0,4.0
UWaveGestureLibraryZ,2.0,4.0,1.0,3.0
Wafer,3.0,4.0,1.0,2.0
Wine,2.0,4.0,1.0,3.0
WordSynonyms,1.0,4.0,2.0,3.0
Worms,1.0,4.0,2.0,3.0
WormsTwoClass,3.0,4.0,1.0,2.0
Yoga,1.0,3.0,2.0,4.0
